line-x,line,mux-x,mux,mux-line-x,mux + line
0,52.4691358,0,52.4691358,0,52.4691358
5.381,52.4691358,5.095,52.4691358,5.617,52.4691358
5.466,52.4691358,5.139,52.4691358,5.683,52.4691358
5.485,52.4691358,5.174,52.4691358,5.684,52.4691358
5.517,52.4691358,5.185,52.4691358,5.718,52.4691358
5.521,52.4691358,5.231,52.4691358,5.741,52.4691358
5.546,52.4691358,5.246,52.4691358,5.75,52.4691358
5.596,52.4691358,5.255,56.54320988,5.776,52.4691358
5.633,52.4691358,5.268,56.54320988,5.781,52.4691358
5.635,52.4691358,5.273,56.54320988,5.788,52.4691358
5.728,52.4691358,5.284,56.54320988,5.849,52.4691358
5.742,52.4691358,5.315,56.54320988,5.858,52.4691358
5.756,52.4691358,5.353,56.54320988,5.906,52.4691358
5.772,52.59259259,5.358,56.54320988,5.93,52.4691358
5.792,52.59259259,5.402,56.54320988,6.007,52.4691358
5.823,52.59259259,5.43,56.54320988,6.009,52.4691358
5.84,52.59259259,5.463,56.54320988,6.022,52.4691358
5.873,52.59259259,5.503,56.54320988,6.033,52.4691358
5.901,52.59259259,5.537,56.54320988,6.042,52.4691358
5.926,52.59259259,5.569,56.54320988,6.082,52.4691358
5.94,52.59259259,5.586,56.54320988,6.115,52.4691358
5.97,52.59259259,5.59,56.66666667,6.142,52.4691358
5.999,52.59259259,5.615,56.66666667,6.146,52.4691358
6.072,52.59259259,5.636,60.74074074,6.169,52.4691358
6.125,52.59259259,5.686,60.74074074,6.213,52.4691358
6.149,52.59259259,5.715,60.74074074,6.246,56.54320988
6.151,52.59259259,5.723,60.74074074,6.25,56.54320988
6.249,52.59259259,5.854,60.74074074,6.256,60.61728395
6.267,52.59259259,5.885,60.74074074,6.274,60.61728395
6.312,52.59259259,5.904,60.74074074,6.323,60.61728395
6.316,56.66666667,5.97,60.74074074,6.371,60.61728395
6.323,56.66666667,6.024,60.74074074,6.409,60.61728395
6.347,56.66666667,6.051,60.74074074,6.425,60.61728395
6.378,60.74074074,6.114,60.74074074,6.457,60.61728395
6.436,60.74074074,6.185,60.74074074,6.462,60.61728395
6.474,60.74074074,6.196,60.86419753,6.474,60.61728395
6.489,60.74074074,6.212,60.86419753,6.484,60.61728395
6.673,60.74074074,6.295,60.98765432,6.553,60.61728395
6.681,60.74074074,6.327,60.98765432,6.585,60.61728395
6.696,60.74074074,6.357,65.0617284,6.646,60.61728395
6.723,64.81481481,6.424,65.0617284,6.661,60.61728395
6.734,64.81481481,6.468,65.0617284,6.701,60.61728395
6.759,64.81481481,6.555,65.0617284,6.715,60.61728395
6.928,64.81481481,6.621,65.0617284,6.782,60.61728395
6.96,64.81481481,6.639,65.0617284,6.787,60.61728395
7.006,64.9382716,6.696,65.0617284,6.809,60.61728395
7.012,64.9382716,6.704,65.0617284,6.815,60.61728395
7.036,64.9382716,6.731,65.0617284,6.819,60.61728395
7.099,64.9382716,6.781,65.0617284,6.871,60.61728395
7.216,69.01234568,6.808,65.0617284,7.015,60.61728395
7.249,69.01234568,6.926,65.0617284,7.029,64.69135802
7.32,69.01234568,6.941,65.0617284,7.051,64.69135802
7.326,69.01234568,7.123,65.0617284,7.123,64.69135802
7.367,69.01234568,7.146,65.0617284,7.175,64.69135802
7.38,69.01234568,7.209,65.0617284,7.176,64.69135802
7.414,69.01234568,7.283,65.0617284,7.213,68.7654321
7.538,69.01234568,7.337,65.0617284,7.231,68.7654321
7.55,69.01234568,7.356,65.0617284,7.248,68.7654321
7.642,69.01234568,7.375,65.0617284,7.281,68.7654321
7.652,69.01234568,7.456,65.0617284,7.345,68.7654321
7.665,69.01234568,7.538,65.0617284,7.352,68.7654321
7.677,69.01234568,7.774,65.0617284,7.54,68.7654321
7.741,69.01234568,7.832,65.0617284,7.713,68.7654321
7.755,69.01234568,7.889,65.0617284,7.759,68.7654321
7.82,69.01234568,7.969,65.0617284,7.839,68.7654321
7.896,69.01234568,8.155,65.0617284,7.868,68.7654321
7.905,69.25925926,8.17,65.0617284,7.899,68.7654321
7.954,69.25925926,8.211,65.30864198,7.914,68.7654321
8.329,69.38271605,8.292,65.43209877,7.989,68.7654321
8.467,70,8.507,65.43209877,8.011,68.7654321
8.506,70,8.54,65.43209877,8.078,68.7654321
8.552,70,8.553,65.43209877,8.108,68.7654321
8.614,70,8.613,65.43209877,8.124,68.7654321
8.653,70,8.709,69.62962963,8.159,68.7654321
8.91,70.12345679,9.047,69.62962963,8.186,68.7654321
8.946,70.12345679,9.056,69.62962963,8.199,68.7654321
8.963,70.12345679,9.107,69.62962963,8.226,72.83950617
9.018,70.24691358,9.151,69.75308642,8.318,72.83950617
9.067,70.24691358,9.501,69.75308642,8.381,72.83950617
9.125,70.24691358,9.564,69.75308642,8.425,73.08641975
9.256,70.37037037,9.632,69.75308642,8.494,73.08641975
9.358,70.37037037,9.658,69.75308642,8.557,73.08641975
9.563,70.37037037,9.716,70.37037037,8.602,73.08641975
9.597,70.49382716,9.756,70.49382716,8.653,73.08641975
9.688,70.49382716,9.902,70.49382716,8.795,73.08641975
9.851,70.49382716,10.107,70.49382716,8.967,73.08641975
9.883,70.49382716,10.126,70.49382716,9.194,73.08641975
10.916,70.49382716,10.257,70.49382716,9.338,73.08641975
11.064,70.49382716,10.516,70.61728395,9.348,73.08641975
11.077,70.49382716,10.548,70.61728395,9.403,73.20987654
11.089,74.19753086,10.614,70.61728395,9.716,73.20987654
11.517,74.19753086,10.758,70.61728395,9.731,73.20987654
11.666,74.32098765,10.896,70.61728395,9.783,73.20987654
12.314,74.32098765,11.193,70.61728395,9.811,73.20987654
12.76,74.32098765,11.461,70.74074074,9.965,73.20987654
12.886,74.32098765,11.606,74.44444444,10.027,73.20987654
13.115,74.32098765,11.79,74.56790123,10.125,73.20987654
13.395,74.44444444,11.869,74.69135802,10.251,73.20987654
14.03,74.69135802,11.932,74.69135802,10.303,73.20987654
14.066,74.81481481,12.807,74.69135802,10.369,73.20987654
14.106,74.81481481,13.243,74.69135802,10.418,73.20987654
